N.º,op_p,subop_p,id_color,fecha,hora_inicio,hora_fin,id_rrhh,velocidad,cantidad por gancheras,cod_perfil,longitud,cantidad
1434,207,1,2,20200722,070000,074500,5,1.4,6,PROFILE-0031,6,53
1435,207,2,2,20200722,102000,111000,5,1.5,165,PROFILE-0030,6,44
1436,207,6,2,20200722,104000,112500,5,1.5,16,PROFILE-0078,6,14
1437,207,5,2,20200722,104500,113000,5,1.5,16,PROFILE-0080,6,100
1438,207,4,2,20200722,133000,142000,5,1.5,12,PROFILE-0079,6,92
1439,207,3,2,20200722,065000,073500,5,1.4,6,PROFILE-0040,6,23
1440,207,1,2,20200722,070000,074500,5,1.4,6,PROFILE-0031,6,53
1441,207,2,2,20200722,102000,111000,5,1.5,16,PROFILE-0030,6,44
1442,207,6,2,20200722,104000,112500,5,1.5,16,PROFILE-0078,6,14
1443,207,5,2,20200722,104500,113000,5,1.5,16,PROFILE-0080,6,100
1444,207,4,2,20200722,133000,142000,5,1.5,12,PROFILE-0079,6,92
1445,208,1,2,20200723,103000,111500,5,1.4,3,PROFILE-0108,6,38
1446,208,7,2,20200723,134000,142500,5,1.4,3,PROFILE-0115,6,40
1447,208,2,2,20200723,140000,144500,5,1.4,3,PROFILE-0109,6,30
1448,208,3,2,20200724,081800,091000,5,1.4,8,PROFILE-0150,6,12
1449,208,5,2,20200724,082500,091500,5,1.4,8,PROFILE-0154,6,25
1450,208,6,2,20200724,090000,094500,5,1.4,8,PROFILE-0155,6,35
1451,208,4,2,20200724,104000,112500,5,1.5,8,PROFILE-0153,6,30
1452,208,2,2,20200724,104500,113000,5,1.4,4,PROFILE-0109,6,30
1453,209,2,4,20200724,131000,142000,5,1.7,16,PROFILE-0126,6,396
1454,209,2,4,20200727,090000,094500,5,1.7,16,PROFILE-0126,6,47
1455,209,1,4,20200727,093000,101500,5,1.5,12,PROFILE-0079,6,73
1456,210,1,1,20200727,131500,134500,5,1.3,8,PROFILE-0158,6,68
1457,210,5,1,20200727,150000,154500,5,1.7,16,PROFILE-0104,6,77
1458,210,1,1,20200728,070000,074500,5,1.3,6,PROFILE-0158,6,44
1459,210,7,1,20200728,091000,095500,5,1.2,2,PROFILE-0165,6,2
1460,210,12,1,20200728,094500,103000,5,1.6,7,PROFILE-0064,6,1
1461,210,15,1,20200728,094500,103000,5,1.6,16,PROFILE-0126,6,1
1462,210,10,1,20200728,101000,105500,5,1.3,2,PROFILE-0172,6,22
1463,211,2,1,20200728,132500,140500,5,1.5,14,PROFILE-0079,6,110
1464,211,3,1,20200728,140000,144500,5,1.4,8,PROFILE-0083,6,47
1465,210,2,1,20200729,102500,111000,5,1.4,6,PROFILE-0170,6,23
1466,210,9,1,20200729,105000,113500,5,1.4,2,PROFILE-0171,6,25
1467,210,16,1,20200729,150000,154500,5,1.4,4,PROFILE-0109,6,20
1468,210,6,1,20200730,071000,113000,5,1.3,2,PROFILE-0173,6,44
1469,210,18,1,20200730,131000,135500,5,1.4,8,PROFILE-0114,6,8
1470,210,14,1,20200730,140000,151500,5,1.4,8,PROFILE-0122,6,6
1471,210,19,1,20200730,132000,140500,5,1.5,10,PROFILE-0129,6,5
1472,210,13,1,20200730,133000,141500,5,1.4,12,PROFILE-0168,6,6
1473,210,11,1,20200730,133500,142000,5,1.4,8,PROFILE-0159,6,25
1474,210,7,1,20200730,134500,143000,5,1.4,8,PROFILE-0161,6,25
1475,211,6,1,20200730,151500,155500,5,1.5,8,PROFILE-0181,6,3
1476,211,1,1,20200730,154000,162000,5,1.5,8,PROFILE-0075,6,16
1477,211,1,1,20200731,071000,075500,5,1.5,8,PROFILE-0075,6,33
1478,210,6,1,20200731,073000,081500,5,1.6,16,PROFILE-0119,6,100
1479,210,17,1,20200731,090000,094500,5,1.4,8,PROFILE-0154,6,10
1480,210,3,1,20200731,090000,094500,5,1.4,8,PROFILE-0163,6,1
1481,211,5,1,20200731,092000,101000,5,1.6,16,PROFILE-0077,6,446
1482,211,4,1,20200731,112000,121000,5,1.6,16,PROFILE-0080,6,214
1483,212,11,2,20200731,151000,155500,5,1.4,8,PROFILE-0168,6,30
1484,212,1,2,20200731,153000,161500,5,1.4,8,PROFILE-0108,6,6
1485,212,1,2,20200803,093000,101500,5,1.3,3,PROFILE-0108,6,21
1486,212,7,2,20200803,101500,105500,5,1.4,16,PROFILE-0080,6,92
1487,212,14,2,20200803,105000,113500,5,1.4,6,PROFILE-0064,6,10
1488,212,12,2,20200803,105500,114000,5,1.4,6,PROFILE-0121,6,30
1489,212,9,2,20200803,134000,142500,5,1.5,6,PROFILE-0130,6,15
1490,212,9,2,20200805,133500,142000,5,1.6,5,PROFILE-0130,6,73
1491,212,10,2,20200805,144000,152500,5,1.6,5,PROFILE-0113,6,62
1492,212,3,2,20200805,154500,163000,5,1.4,8,PROFILE-0150,6,18
1493,212,6,2,20200706,070000,074500,5,1.7,16,PROFILE-0111,6,226
1494,212,4,2,20200706,091000,094500,5,1.5,8,PROFILE-0152,6,61
1495,212,10,2,20200706,094500,103000,5,1.4,8,PROFILE-0159,6,28
1496,212,9,2,20200706,100000,104500,5,1.5,14,PROFILE-0126,6,45
1497,213,7,3,20200706,152000,160000,5,1.7,16,PROFILE-0046,6,30
1498,213,5,3,20200706,152500,160500,5,1.7,14,PROFILE-0231,6,20
1499,213,4,3,20200706,153000,161000,5,1.6,10,PROFILE-0232,6,10
1500,213,1,3,20200706,153500,161500,5,1.7,16,PROFILE-0104,6,20
1501,213,9,3,20200706,154000,162000,5,1.7,16,PROFILE-0123,6,1
1502,NULL,NULL,3,20200706,154000,162000,5,1.6,8,PROFILE-0163,6,2
1503,214,3,3,20200706,155000,163000,5,1.6,8,PROFILE-0167,6,7
1504,214,8,3,20200706,155000,163000,5,1.6,8,PROFILE-0168,6,3
1505,214,10,3,20200706,155500,164000,5,1.6,12,PROFILE-0233,6,2
1506,214,2,3,20200706,160000,164500,5,1.6,12,PROFILE-0122,6,13
1507,215,6,1,20200807,131500,135500,5,1.5,8,PROFILE-0064,6,4
1508,215,5,1,20200807,132000,140000,5,1.5,8,PROFILE-0162,6,7
1509,215,7,1,20200807,132500,140500,5,1.5,8,PROFILE-0169,6,4
1510,215,1,1,20200807,132500,140500,5,1.5,8,PROFILE-0158,6,1
1511,215,9,1,20200807,133000,141000,5,1.5,8,PROFILE-0157,6,6
1512,215,4,1,20200807,135000,143500,5,1.3,2,PROFILE-0120,6,4
1513,215,8,1,20200807,135500,144000,5,1.4,8,PROFILE-0161,6,4
1514,215,2,1,20200807,140050,144000,5,1.6,16,PROFILE-0119,6,16
1515,215,3,1,20200807,143000,151500,5,1.3,2,PROFILE-0125,6,4
1516,215,7,1,20200810,101000,110000,5,1.3,8,PROFILE-0076,6,266
1517,215,7,1,20200811,083000,091500,5,1.3,8,PROFILE-0076,6,48
1518,215,5,1,20200811,091000,095500,5,1.4,5,PROFILE-0130,6,15
1519,215,3,1,20200811,091500,100000,5,1.3,2,PROFILE-0173,6,11
1520,214,2,1,20200811,094000,102500,5,1.3,8,PROFILE-0170,6,4
1521,215,1,1,20200811,094500,103000,5,1.3,8,PROFILE-0158,6,1
1522,216,4,4,20200811,153000,161500,5,1.7,16,PROFILE-0110,6,100
1523,216,2,4,20200811,155000,163000,5,1.3,8,PROFILE-0234,6,8
1524,216,1,4,20200811,160000,164500,5,1.3,8,PROFILE-0235,6,4
1525,216,3,4,20200811,160000,165000,5,1.3,8,PROFILE-0236,6,2
1526,217,3,4,20200812,085000,093500,5,1.4,8,PROFILE-0064,6,6
1527,217,1,4,20200812,090000,094500,5,1.7,16,PROFILE-0119,6,10
1528,217,2,4,20200812,090500,095000,5,1.4,8,PROFILE-0159,6,6
1529,218,1,4,20200812,132000,142000,5,1.3,8,PROFILE-0083,6,154
1530,218,2,4,20200812,144500,153000,5,1.4,8,PROFILE-0075,6,49
1531,219,2,13,20200813,095000,103500,5,1.3,8,PROFILE-0237,6,10
1532,219,3,13,20200813,100000,104500,5,1.4,8,PROFILE-0238,6,1
1533,219,1,13,20200813,102000,110500,5,1.4,5,PROFILE-0130,6,10
1534,220,3,2,20200813,132500,141000,5,1.3,16,PROFILE-0112,6,60
1535,220,1,2,20200813,134000,142500,5,1.4,13,PROFILE-0108,6,1
1536,220,4,2,20200813,134000,142500,5,1.3,8,PROFILE-0150,6,1
1537,220,6,2,20200813,134500,143000,5,1.3,8,PROFILE-0159,6,5
1538,220,9,2,20200813,135000,153500,5,1.3,8,PROFILE-0083,6,46
1539,220,5,2,20200813,154000,162500,5,1.6,8,PROFILE-0152,6,3
1540,220,4,2,20200813,154500,163000,5,1.6,16,PROFILE-0126,6,78
1541,220,7,2,20200814,083000,091500,5,1.6,16,PROFILE-0126,6,24
1542,220,8,2,20200814,083500,092000,5,1.3,2,PROFILE-0149,6.2,1
1543,220,11,2,20200814,143000,151500,5,1.3,3,PROFILE-0175,5,20
1544,222,1,2,20200818,131600,141500,5,1.5,8,PROFILE-0132,6,34
1545,222,2,2,20200818,132000,141500,5,1.5,8,PROFILE-0132,5,8
1546,223,1,1,20200821,104100,112500,5,1.5,10,PROFILE-0075,5,4
1547,223,8,1,20200821,104500,113000,5,1.5,10,PROFILE-0082,5,48
1548,223,9,1,20200821,110000,114500,5,1.4,8,PROFILE-0083,5,2
1549,223,5,1,20200821,111500,115500,5,1.5,16,PROFILE-0079,4,2
1550,223,6,1,20200821,111500,155500,5,1.5,16,PROFILE-0079,5,42
1551,223,2,1,20200821,132000,140000,5,1.4,8,PROFILE-0076,5,26
1552,223,4,1,20200821,140500,144500,5,1.6,16,PROFILE-0078,5,8
1553,223,7,1,20200821,141000,145500,5,1.6,16,PROFILE-0080,4,144
1554,223,3,1,20200821,141500,150000,5,1.6,16,PROFILE-0077,4,4
1555,224,1,1,20200821,150500,155000,5,1.3,8,PROFILE-0083,6,88
1556,224,1,1,20200824,070000,074500,5,1.3,8,PROFILE-0083,6,44
1557,224,2,1,20200824,082000,093000,5,1.3,16,PROFILE-0082,6,163
1558,225,1,1,20200824,131500,141500,5,1.3,16,PROFILE-0079,6,200
1559,225,2,1,20200824,142500,152500,5,1.6,16,PROFILE-0081,6,200
1560,226,1,5,20200825,095500,104000,5,1.6,16,PROFILE-0239,6,35
1561,226,2,5,20200825,100500,104500,5,1.3,8,PROFILE-0240,6,35
1562,227,5,2,20200826,094000,104500,5,1.3,8,PROFILE-0076,6,100
1563,227,2,2,20200826,103500,112000,5,1.4,6,PROFILE-0122,6,28
1564,227,4,2,20200826,132250,140500,5,1.6,16,PROFILE-0104,5,10
1565,227,7,2,20200826,133500,142000,5,1.6,16,PROFILE-0081,6,40
1566,227,3,2,20200826,133500,142000,5,1.6,16,PROFILE-0104,6,18
1567,227,1,2,20200826,134500,143000,5,1.5,16,PROFILE-0126,6,45
1568,227,8,2,20200826,140000,144500,5,1.4,8,PROFILE-0082,6,64
1569,227,6,2,20200826,144500,153000,5,1.5,16,PROFILE-0079,6,7
1570,228,8,2,20200827,103000,111500,5,1.4,8,PROFILE-0079,6,20
1571,228,9,2,20200827,135000,143500,5,1.3,8,PROFILE-0083,6,14
1572,228,7,2,20200827,140000,144500,5,1.6,16,PROFILE-0080,6,50
1573,228,6,2,20200827,142000,150500,5,1.6,16,PROFILE-0078,6,100
1574,228,5,2,20200827,144500,153000,5,1.6,16,PROFILE-0074,6,100
1575,NULL,NULL,2,20200827,152500,161000,5,1.3,2,PROFILE-0149,6,1
1576,229,11,3,20200828,100500,104000,5,1.6,NULL,PROFILE-0081,6,47
1577,229,7,3,20200828,102500,111000,5,1.3,NULL,PROFILE-0083,6,50
1578,229,2,3,20200828,131000,135500,5,1.4,NULL,PROFILE-0159,6,12
1579,229,3,3,20200828,131500,140000,5,1.4,NULL,PROFILE-0186,6,3
1580,229,4,3,20200828,132000,140500,5,1.4,NULL,PROFILE-0175,5,3
1581,229,8,3,20200828,134500,143000,5,1.6,NULL,PROFILE-0080,6,50
1582,229,5,3,20200828,135500,144000,5,1.4,NULL,PROFILE-0076,6,52
1583,229,6,3,20200828,145000,153500,5,1.6,NULL,PROFILE-0079,6,71
1584,229,10,3,20200831,085500,094000,5,1.6,16,PROFILE-0074,6,25
1585,230,9,3,20200831,090500,094500,5,1.6,16,PROFILE-0078,6,30
1586,230,1,3,20200831,102000,152000,5,1.6,4,PROFILE-0241,6,70
1587,230,18,3,20200831,152000,160500,5,1.4,16,PROFILE-0064,6,2
1588,230,19,3,20200831,152000,160500,5,1.4,8,PROFILE-0118,5,1
1589,230,13,3,20200831,152000,160500,5,1.4,8,PROFILE-0121,6,2
1590,230,8,3,20200831,152200,161000,5,1.4,8,PROFILE-0158,6,4
1591,230,15,3,20200831,152200,161000,5,1.4,8,PROFILE-0168,6,1
1592,230,7,3,20200831,153000,161500,5,1.4,8,PROFILE-0162,6,7
1593,230,5,3,20200831,154000,162500,5,1.4,12,PROFILE-0116,6,12
1594,231,9,3,20200901,082500,091000,5,1.4,8,PROFILE-0169,6,6
1595,231,16,3,20200901,083000,091500,5,1.4,8,PROFILE-0166,6,1
1596,231,6,3,20200901,083500,092000,5,1.4,8,PROFILE-0157,6,5
1597,231,17,3,20200901,083500,092000,5,1.4,8,PROFILE-0164,6,1
1598,231,14,3,20200901,083500,092000,5,1.4,12,PROFILE-0123,6,1
1599,231,4,3,20200901,084500,093000,5,1.4,3,PROFILE-0124,6,3
1600,231,2,3,20200901,085000,093500,5,1.4,2,PROFILE-0172,6,2
1601,231,1,3,20200901,090000,094500,5,1.4,2,PROFILE-0171,6,2
1602,231,3,3,20200901,091000,095500,5,1.4,3,PROFILE-0125,6,1
1603,231,11,3,20200901,091500,100000,5,1.4,8,PROFILE-0160,6,3
1604,231,12,3,20200901,091500,100000,5,1.4,8,PROFILE-0161,6,3
1605,231,10,3,20200901,092500,101000,5,1.4,8,PROFILE-0170,6,6
1606,231,12,3,20200901,103500,112000,5,1.4,8,PROFILE-0041,6,1
1607,231,15,3,20200901,104000,112500,5,1.5,16,PROFILE-0104,6,11
1608,231,16,3,20200901,104000,112500,5,1.6,16,PROFILE-0194,6,3
1609,231,4,3,20200901,104500,113000,5,1.6,16,PROFILE-0046,6,4
1610,231,14,3,20200901,110000,114500,5,1.6,16,PROFILE-0117,6,30
1611,231,19,3,20200901,131500,135500,5,1.6,16,PROFILE-0126,6,23
1612,231,5,3,20200901,132000,140000,5,1.4,8,PROFILE-0042,6,6
1613,231,20,3,20200901,132500,140500,5,1.4,8,PROFILE-0150,6,5
1614,231,1,3,20200901,133000,141000,5,1.4,12,PROFILE-0044,6,2
1615,231,2,3,20200901,133500,141500,5,1.5,12,PROFILE-0048,6,2
1616,231,6,3,20200901,134500,142500,5,1.4,8,PROFILE-0165,6,4
1617,231,11,3,20200901,141000,145500,5,1.4,8,PROFILE-0157,6,5
1618,231,17,3,20200901,141000,145500,5,1.4,8,PROFILE-0159,6,2
1619,231,18,3,20200901,141000,145500,5,1.4,8,PROFILE-0122,6,1
1620,231,9,3,20200901,145000,153500,5,1.4,3,PROFILE-0120,6,2
1621,231,10,3,20200901,145500,154000,5,1.4,8,PROFILE-0173,6,1
1622,231,7,3,20200901,150000,154500,5,1.4,2,PROFILE-0047,6,2
1623,231,8,3,20200901,151000,155500,5,1.4,2,PROFILE-0242,6,2
1624,231,13,3,20200901,152000,161000,5,1.4,4,PROFILE-0049,6,2
1625,231,21,3,20200901,152500,161500,5,1.4,4,PROFILE-0038,6,4
1626,231,3,3,20200901,153000,162000,5,1.4,4,PROFILE-0045,6,1
1627,232,14,3,20200902,091000,095500,5,1.4,8,PROFILE-0156,5,4
1628,232,12,3,20200902,091200,095800,5,1.4,8,PROFILE-0152,6,4
1629,232,11,3,20200902,092000,100500,5,1.4,8,PROFILE-0150,6,5
1630,232,3,3,20200902,093000,101500,5,1.6,16,PROFILE-0104,6,6
1631,232,17,3,20200902,093000,101500,5,1.6,16,PROFILE-0110,6,10
1632,232,18,3,20200902,093000,101500,5,1.6,16,PROFILE-0111,6,6
1633,232,10,3,20200902,093500,102000,5,1.4,12,PROFILE-0107,6,5
1634,232,13,3,20200902,094000,102500,5,1.4,8,PROFILE-0155,6,4
1635,NULL,NULL,3,20200902,094500,103000,5,1.4,8,PROFILE-0170,6,2
1636,232,4,3,20200902,095500,104000,5,1.6,16,PROFILE-0046,6,12
1637,232,20,3,20200902,100000,104500,5,1.4,12,PROFILE-0243,6,4
1638,232,5,3,20200902,100000,104500,5,1.6,16,PROFILE-0244,6,5
1639,232,17,3,20200902,101000,105500,5,1.4,8,PROFILE-0033,6,2
1640,232,18,3,20200902,101000,105500,5,1.4,8,PROFILE-0034,6,2
1641,232,6,3,20200902,101000,105500,5,1.4,8,PROFILE-0038,6,2
1642,NULL,NULL,3,20200902,134000,142500,5,1.4,8,PROFILE-0245,6,2
1643,232,7,3,20200902,134000,142500,5,1.4,8,PROFILE-0220,6,5
1644,232,9,3,20200902,142000,150500,5,1.4,8,PROFILE-0246,6,5
1645,232,1,3,20200902,142500,151000,5,1.4,8,PROFILE-0076,6,5
1646,232,2,3,20200902,142500,151000,5,1.4,8,PROFILE-0079,6,1
1647,233,23,3,20200902,143500,152000,5,1.6,16,PROFILE-0119,6,52
1648,233,30,3,20200902,145000,153500,5,1.4,8,PROFILE-0226,6,3
1649,233,31,3,20200902,145000,153500,5,1.4,8,PROFILE-0227,5,3
1650,233,16,3,20200902,150000,154500,5,1.4,8,PROFILE-0151,6,1
1651,233,27,3,20200902,150000,154500,5,1.4,8,PROFILE-0049,6,1
1652,233,32,3,20200902,150500,155000,5,1.4,8,PROFILE-0045,6,3
1653,233,28,3,20200902,150500,155000,5,1.4,8,PROFILE-0042,6,5
1654,233,36,3,20200902,150500,155000,5,1.4,8,PROFILE-0047,6,1
1655,233,26,3,20200902,155000,163500,5,1.4,2,PROFILE-0044,6,1
1656,233,25,3,20200902,155000,163500,5,1.4,2,PROFILE-0048,6,1
