nro_canasto,nro_envejecimiento,id_tipo_contenedor,id_canasto
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
9,3,0,0
10,3,0,0
11,3,0,0
12,3,0,0
13,4,0,0
14,4,0,0
15,4,0,0
16,4,0,0
17,5,0,0
18,5,0,0
19,5,0,0
20,5,0,0
21,6,0,0
22,6,0,0
23,6,0,0
24,6,0,0
25,7,0,0
26,7,0,0
27,7,0,0
28,7,0,0
29,8,0,0
30,8,0,0
31,8,0,0
32,8,0,0
33,9,0,0
34,9,0,0
35,9,0,0
36,9,0,0
33,10,0,0
34,10,0,0
35,10,0,0
36,10,0,0
37,11,0,0
38,11,0,0
39,11,0,0
40,11,0,0
41,12,0,0
42,12,0,0
43,12,0,0
44,12,0,0
45,13,0,0
46,13,0,0
47,13,0,0
48,13,0,0
49,14,0,0
50,14,0,0
51,14,0,0
52,14,0,0
53,15,0,0
54,15,0,0
55,15,0,0
56,15,0,0
57,16,0,0
58,16,0,0
59,16,0,0
60,16,0,0
61,17,0,0
62,17,0,0
63,17,0,0
64,17,0,0
65,18,0,0
66,18,0,0
67,19,0,0
68,19,0,0
69,19,0,0
70,19,0,0
71,20,0,0
72,20,0,0
73,20,0,0
74,20,0,0
75,21,0,0
76,21,0,0
77,21,0,0
78,21,0,0
79,22,0,0
80,22,0,0
81,22,0,0
82,22,0,0
83,23,0,0
84,23,0,0
85,23,0,0
86,23,0,0
87,24,0,0
88,24,0,0
89,24,0,0
90,24,0,0
91,25,0,0
92,25,0,0
93,25,0,0
94,25,0,0
91,26,0,0
92,26,0,0
93,26,0,0
94,26,0,0
95,27,0,0
96,27,0,0
97,27,0,0
98,27,0,0
99,28,0,0
100,28,0,0
101,28,0,0
102,28,0,0
103,29,0,0
104,29,0,0
105,29,0,0
106,30,0,0
107,30,0,0
108,30,0,0
109,30,0,0
110,31,0,0
111,31,0,0
112,31,0,0
113,31,0,0
114,32,0,0
115,32,0,0
116,32,0,0
117,32,0,0
118,33,0,0
119,33,0,0
120,33,0,0
121,33,0,0
122,34,0,0
123,34,0,0
124,34,0,0
125,34,0,0
126,35,0,0
127,35,0,0
128,35,0,0
129,35,0,0
130,36,0,0
131,36,0,0
132,36,0,0
133,36,0,0
134,37,0,0
135,37,0,0
136,37,0,0
137,37,0,0
138,38,0,0
139,38,0,0
140,38,0,0
141,38,0,0
142,39,0,0
143,39,0,0
144,39,0,0
145,39,0,0
146,40,0,0
147,40,0,0
148,40,0,0
149,40,0,0
150,41,0,0
151,41,0,0
152,41,0,0
153,41,0,0
154,42,0,0
155,42,0,0
156,42,0,0
157,42,0,0
158,43,0,0
159,43,0,0
160,43,0,0
161,43,0,0
162,44,0,0
163,44,0,0
164,44,0,0
165,44,0,0
166,45,0,0
167,45,0,0
168,45,0,0
169,45,0,0
170,46,0,0
171,46,0,0
172,46,0,0
173,46,0,0
174,47,0,0
175,47,0,0
176,48,0,0
177,48,0,0
178,48,0,0
179,48,0,0
180,49,0,0
181,49,0,0
182,49,0,0
183,49,0,0
184,50,0,0
185,50,0,0
186,50,0,0
187,50,0,0
188,51,0,0
189,51,0,0
190,51,0,0
191,51,0,0
192,52,0,0
193,52,0,0
194,52,0,0
195,52,0,0
196,53,0,0
197,53,0,0
198,53,0,0
199,53,0,0
200,54,0,0
201,54,0,0
202,54,0,0
203,54,0,0
204,55,0,0
205,55,0,0
206,55,0,0
207,55,0,0
208,56,0,0
209,56,0,0
210,57,0,0
211,57,0,0
212,57,0,0
213,57,0,0
214,58,0,0
215,58,0,0
216,58,0,0
217,59,1,13
218,59,1,26
219,59,1,23
220,59,1,22
221,60,1,24
222,60,1,2
223,60,1,16
224,60,1,25
225,61,1,21
226,61,1,9
227,61,1,10
228,61,1,7
229,62,1,14
230,62,1,21
231,62,1,23
232,62,1,17
233,63,1,25
234,63,1,10
235,63,1,22
236,63,1,7
237,64,1,14
238,64,1,24
239,65,1,4
240,65,1,25
241,65,1,10
242,65,1,21
243,66,1,7
244,66,1,25
245,66,1,22
246,66,1,10
247,67,1,26
248,67,1,7
249,67,1,25
250,67,1,10
251,68,1,16
252,68,1,9
253,68,1,8
254,68,1,14
255,69,1,4
256,69,1,22
257,69,1,21
258,69,1,25
259,70,1,17
260,70,1,26
261,70,1,23
262,70,1,13
263,71,1,16
264,71,1,21
265,72,1,17
266,72,1,9
267,72,1,22
268,72,1,25
269,73,1,25
270,73,1,6
271,73,1,17
272,73,1,14
273,74,1,26
274,74,1,22
275,74,1,23
276,75,1,9
277,75,1,14
278,75,1,13
279,75,1,25
280,76,1,17
281,76,1,8
282,76,1,22
283,76,1,10
284,77,1,13
285,77,1,9
286,77,1,3
287,77,1,25
288,78,1,25
289,78,1,22
290,78,1,10
291,78,1,16
292,79,1,17
293,79,1,8
294,79,1,15
295,79,1,26
296,80,1,16
297,80,1,25
298,80,1,9
299,80,1,10
300,81,1,3
301,81,1,24
302,81,1,8
303,81,1,14
304,82,1,4
305,82,1,26
306,82,1,22
307,82,1,10
308,83,1,5
309,83,1,25
310,83,1,8
311,84,1,15
312,84,1,8
313,84,1,18
314,84,1,25
315,85,1,5
316,85,1,26
317,86,1,2
318,86,1,25
319,86,1,6
320,86,1,4
321,87,1,18
322,87,1,8
323,87,1,15
324,88,1,25
325,88,1,14
326,88,1,2
327,88,1,3
328,89,1,26
329,89,1,4
330,89,1,14
331,89,1,19
332,90,1,8
333,90,1,3
333,90,1,2
334,90,1,25
335,91,1,2
336,91,1,7
337,91,1,19
338,91,0,0
339,92,1,18
340,92,1,26
341,92,1,4
342,92,1,24
343,93,1,2
344,93,1,19
345,93,1,15
346,93,1,3
347,94,1,5
348,94,1,13
349,94,1,18
350,94,1,26
