ID_MOVIMIENTO,FECHA ,HORA ,ID_RESPONSABLE,TIPO_CONTENEDOR_ORIGEN,ID_CONTENEDOR_ORIGEN,TIPO_CONTENEDOR_DESTINO,ID_CONTENEDOR_DESTINO,CODIGO ,LONGITUD,ENVEJECIDO,ACABADO,COLOR,DEFECTUOSO,CANTIDAD,nro_ext,nro_envejecimiento,nro_pint,id_imp_etiq,com,es_fix,ok
347,20200611,NULL,12,1,7,2,1,PROFILE-0172,6,1,0,0,0,18,NULL,NULL,NULL,NULL,NULL,0,NULL
348,20200522,NULL,8,NULL,NULL,1,7,PROFILE-0116,6,1,0,0,0,71,NULL,NULL,NULL,NULL,NULL,0,NULL
349,20200611,NULL,12,1,7,2,2,PROFILE-0116,6,1,0,0,0,51,NULL,NULL,NULL,NULL,NULL,0,NULL
350,20200611,NULL,12,1,7,2,4,PROFILE-0116,6,1,0,0,0,20,NULL,NULL,NULL,NULL,NULL,0,NULL
351,20200503,NULL,8,NULL,NULL,1,19,PROFILE-0158,6,1,0,0,0,26,NULL,NULL,NULL,NULL,NULL,0,NULL
352,20200529,NULL,12,1,19,NULL,NULL,PROFILE-0158,6,1,0,0,0,12,NULL,NULL,NULL,NULL,NULL,0,NULL
353,20200611,NULL,12,1,19,2,6,PROFILE-0158,6,1,0,0,0,14,NULL,NULL,NULL,NULL,NULL,0,NULL
354,20200504,NULL,8,NULL,NULL,1,19,PROFILE-0172,6,1,0,0,0,24,NULL,NULL,NULL,NULL,NULL,0,NULL
355,20200504,NULL,12,1,19,NULL,NULL,PROFILE-0172,6,1,0,0,0,16,NULL,NULL,NULL,NULL,NULL,0,NULL
356,20200529,NULL,12,1,19,1,7,PROFILE-0172,6,1,0,0,0,8,NULL,NULL,NULL,NULL,NULL,0,NULL
357,20200504,NULL,8,NULL,NULL,0,0,PROFILE-0158,6,1,0,0,0,17,NULL,NULL,NULL,NULL,NULL,0,NULL
358,20200615,NULL,12,0,0,NULL,NULL,PROFILE-0158,6,1,0,0,0,12,NULL,NULL,NULL,NULL,NULL,0,NULL
