nro_canasto,cod_perfil,long__m,cantidad,op_extrusion,subop_extrusion,,
76,PROFILE-0157,5,2,NULL,NULL,,
76,PROFILE-0157,4,1,NULL,NULL,,
76,PROFILE-0161,6,71,NULL,NULL,,
76,PROFILE-0162,6,26,NULL,NULL,,
76,PROFILE-0162,5,1,NULL,NULL,,
77,PROFILE-0162,6,118,NULL,NULL,,
77,PROFILE-0162,3,1,NULL,NULL,,
78,PROFILE-0182,4,100,NULL,NULL,,
79,PROFILE-0080,6,392,NULL,NULL,,
79,PROFILE-0080,4,4,NULL,NULL,,
79,PROFILE-0162,6,43,NULL,NULL,,
80,PROFILE-0078,6,285,NULL,NULL,,
80,PROFILE-0078,5,17,NULL,NULL,,
80,PROFILE-0157,6,42,NULL,NULL,,
80,PROFILE-0157,5,9,NULL,NULL,,
80,PROFILE-0157,4,1,NULL,NULL,,
81,PROFILE-0127,6,48,NULL,NULL,,
82,PROFILE-0185,4,45,NULL,NULL,,
83,PROFILE-0076,6,73,NULL,NULL,,
83,PROFILE-0076,5,1,NULL,NULL,,
83,PROFILE-0076,4,1,NULL,NULL,,
83,PROFILE-0077,6,181,NULL,NULL,,
83,PROFILE-0077,5,10,NULL,NULL,,
83,PROFILE-0077,3,4,NULL,NULL,,
83,PROFILE-0176,6,11,NULL,NULL,,
83,PROFILE-0187,6,58,NULL,NULL,,
83,PROFILE-0187,5,2,NULL,NULL,,
83,PROFILE-0187,4,2,NULL,NULL,,
84,PROFILE-0082,6,1,NULL,NULL,,
84,PROFILE-0082,5,3,NULL,NULL,,
84,PROFILE-0157,6,52,NULL,NULL,,
84,PROFILE-0157,5,1,NULL,NULL,,
84,PROFILE-0117,6,118,NULL,NULL,,
84,PROFILE-0117,5,20,NULL,NULL,,
84,PROFILE-0169,6,64,NULL,NULL,,
84,PROFILE-0185,3,1,NULL,NULL,,
84,PROFILE-0127,5,3,NULL,NULL,,
84,PROFILE-0127,3,2,NULL,NULL,,
85,PROFILE-0077,6,121,NULL,NULL,,
85,PROFILE-0077,5,3,NULL,NULL,,
85,PROFILE-0077,4,1,NULL,NULL,,
85,PROFILE-0181,6,28,NULL,NULL,,
85,PROFILE-0181,6,90,NULL,NULL,,
85,PROFILE-0181,5,1,NULL,NULL,,
85,PROFILE-0181,4,1,NULL,NULL,,
85,PROFILE-0182,6,22,NULL,NULL,,
85,PROFILE-0182,5,2,NULL,NULL,,
85,PROFILE-0182,3,5,NULL,NULL,,
85,PROFILE-0185,6,26,NULL,NULL,,
86,PROFILE-0176,6,64,NULL,NULL,,
86,PROFILE-0176,5,2,NULL,NULL,,
87,PROFILE-0075,6,6,NULL,NULL,,
87,PROFILE-0075,5,1,NULL,NULL,,
87,PROFILE-0075,3,2,NULL,NULL,,
87,PROFILE-0117,6,134,NULL,NULL,,
87,PROFILE-0117,5,24,NULL,NULL,,
87,PROFILE-0126,6,235,NULL,NULL,,
87,PROFILE-0126,5,11,NULL,NULL,,
87,PROFILE-0126,4,5,NULL,NULL,,
87,PROFILE-0126,3,3,NULL,NULL,,
88,PROFILE-0124,6,54,NULL,NULL,,
88,PROFILE-0126,6,74,NULL,NULL,,
88,PROFILE-0126,5,5,NULL,NULL,,
88,PROFILE-0182,4,1,NULL,NULL,,
89,PROFILE-0124,6,52,NULL,NULL,,
89,PROFILE-0124,5,20,NULL,NULL,,
89,PROFILE-0124,4,3,NULL,NULL,,
90,PROFILE-0124,6,48,NULL,NULL,,
90,PROFILE-0124,5,17,NULL,NULL,,
90,PROFILE-0124,4,3,NULL,NULL,,
91,PROFILE-0103,6,17,NULL,NULL,,
91,PROFILE-0103,2.48,1,NULL,NULL,,
91,PROFILE-0103,2.73,1,NULL,NULL,,
91,PROFILE-0103,2.83,1,NULL,NULL,,
91,PROFILE-0103,2.244,1,NULL,NULL,,
91,PROFILE-0103,2.09,1,NULL,NULL,,
91,PROFILE-0103,2.285,1,NULL,NULL,,
91,PROFILE-0103,2.14,1,NULL,NULL,,
91,PROFILE-0103,2.108,1,NULL,NULL,,
91,PROFILE-0103,2.229,1,NULL,NULL,,
91,PROFILE-0103,2.312,1,NULL,NULL,,
91,PROFILE-0103,2.287,1,NULL,NULL,,
91,PROFILE-0103,2.261,1,NULL,NULL,,
91,PROFILE-0103,2.287,1,NULL,NULL,,
91,PROFILE-0103,2.134,1,NULL,NULL,,
91,PROFILE-0103,2.288,1,NULL,NULL,,
91,PROFILE-0103,2.214,1,NULL,NULL,,
92,PROFILE-0075,6,122,NULL,NULL,,
92,PROFILE-0075,5,9,NULL,NULL,,
92,PROFILE-0075,4,2,NULL,NULL,,
92,PROFILE-0075,3,1,NULL,NULL,,
92,PROFILE-0082,6,12,NULL,NULL,,
92,PROFILE-0082,5,3,NULL,NULL,,
92,PROFILE-0082,4,3,NULL,NULL,,
92,PROFILE-0116,6,31,NULL,NULL,,
92,PROFILE-0116,4,3,NULL,NULL,,
92,PROFILE-0116,3,1,NULL,NULL,,
93,PROFILE-0169,6,2,NULL,NULL,,
93,PROFILE-0127,6,32,NULL,NULL,,
94,PROFILE-0116,6,67,NULL,NULL,,
94,PROFILE-0117,6,54,NULL,NULL,,
94,PROFILE-0117,4,6,NULL,NULL,,
94,PROFILE-0117,3,6,NULL,NULL,,
94,PROFILE-0185,6,1,NULL,NULL,,
94,PROFILE-0127,6,2,NULL,NULL,,
95,PROFILE-0082,6,27,NULL,NULL,,
95,PROFILE-0082,5,9,NULL,NULL,,
95,PROFILE-0082,6,74,NULL,NULL,,
