fecha_salida,fecha_retorno,id_rrhh_salida,id_rrhh_retorno,cod_matriz,nro_serie_matriz
20191216,20191219,0,0,DIE-0090,1
20191216,20191219,0,0,DIE-0013,1
20191216,20191219,0,0,DIE-0015,1
20191216,20191219,0,0,DIE-0088,1
20191216,20191219,0,0,DIE-0046,1
20191216,20191219,0,0,DIE-0082,2
20191216,20191219,0,0,DIE-0052,1
20191216,20191219,0,0,DIE-0086,1
20191216,20191219,0,0,DIE-0089,1
20200109,20200114,0,0,DIE-0098,1
20200109,20200114,0,0,DIE-0086,1
20200109,20200114,0,0,DIE-0077,2
20200109,20200114,0,0,DIE-0084,1
20200109,20200120,0,0,DIE-0010,2
20200109,20200120,0,0,DIE-0091,1
20200109,20200120,0,0,DIE-0095,1
20200109,20200120,0,0,DIE-0096,1
20200109,20200120,0,0,DIE-0097,1
20200109,20200120,0,0,DIE-0100,1
20200109,20200120,0,0,DIE-0050,1
20200109,20200120,0,0,DIE-0051,1
20200109,20200120,0,0,DIE-0101,1
20200109,20200120,0,0,DIE-0092,1
20200109,20200120,0,0,DIE-0093,1
20200109,20200120,0,0,DIE-0069,1
20200109,20200120,0,0,DIE-0072,1
20200109,20200120,0,0,DIE-0083,1
20200109,20200120,0,0,DIE-0085,2
20200110,20200120,0,0,DIE-0032,1
20200110,20200120,0,0,DIE-0099,1
20200121,20200123,0,0,DIE-0002,2
20200121,20200123,0,0,DIE-0087,1
20200121,20200123,0,0,DIE-0088,1
20200121,20200123,0,0,DIE-0094,1
20200121,20200123,0,0,DIE-0074,1
20200122,20200123,0,0,DIE-0089,1
20200206,20200212,0,0,DIE-0003,2
20200206,20200212,0,0,DIE-0004,1
20200206,20200212,0,0,DIE-0087,1
20200206,20200212,0,0,DIE-0086,1
20200206,20200212,0,0,DIE-0089,1
20200206,20200212,0,0,DIE-0075,1
20200210,20200214,0,0,DIE-0105,1
20200210,20200214,0,0,DIE-0103,1
20200210,20200214,0,0,DIE-0083,1
20200210,20200226,0,0,DIE-0111,1
20200210,20200226,0,0,DIE-0107,1
20200210,20200226,0,0,DIE-0104,1
20200210,20200226,0,0,DIE-0108,1
20200210,20200226,0,0,DIE-0109,1
20200210,20200226,0,0,DIE-0110,1
20200305,20200320,0,0,DIE-0083,1
20200305,20200320,0,0,DIE-0010,1
20200305,20200320,0,0,DIE-0010,1
20200305,20200320,0,0,DIE-0005,1
20200305,20200320,0,0,DIE-0001,1
20200305,20200320,0,0,DIE-0021,1
20200305,20200320,0,0,DIE-0085,1
20200305,20200320,0,0,DIE-0016,1
20200305,20200320,0,0,DIE-0041,1
20200305,20200320,0,0,DIE-0033,1
20200305,20200320,0,0,DIE-0106,1
20200305,20200320,0,0,DIE-0084,2
20200519,20200525,0,NULL,DIE-0102,1
20200519,20200525,0,NULL,DIE-0031,1
20200519,20200525,0,NULL,DIE-0125,1
20200520,20200525,0,NULL,DIE-0089,1
20200610,20200615,3,3,DIE-0068,1
20200610,20200615,3,3,DIE-0067,1
20200610,20200615,3,3,DIE-0045,1
20200610,20200615,3,3,DIE-0084,1
20200610,20200615,3,3,DIE-0089,1
