nro_op,nro_subop,codigo,long__m,cant,id_estado_op
32,1,PROFILE-0121,6,1,0
32,2,PROFILE-0168,6,1,0
32,3,PROFILE-0104,6,1,0
32,4,PROFILE-0082,6,30,0
32,5,PROFILE-0175,6,40,0
32,6,PROFILE-0080,6,75,0
32,7,PROFILE-0078,6,58,0
32,8,PROFILE-0077,6,37,0
32,9,PROFILE-0176,6,27,0
33,1,PROFILE-0168,6,25,0
33,2,PROFILE-0064,6,10,0
34,1,PROFILE-0080,6,45,0
34,2,PROFILE-0078,6,35,0
34,3,PROFILE-0077,6,22,0
34,4,PROFILE-0076,5,1,0
34,5,PROFILE-0075,5,1,0
34,6,PROFILE-0079,5,1,0
34,7,PROFILE-0081,4,1,0
35,1,PROFILE-0076,6,38,0
35,2,PROFILE-0075,6,67,0
35,3,PROFILE-0079,6,1,0
35,4,PROFILE-0083,6,74,0
35,5,PROFILE-0181,6,50,0
35,6,PROFILE-0176,6,50,0
36,1,PROFILE-0168,6,30,0
36,2,PROFILE-0159,6,10,0
37,1,PROFILE-0185,4,55,0
37,2,PROFILE-0127,6,40,0
38,1,PROFILE-0121,6,30,0
38,2,PROFILE-0168,6,3,0
38,3,PROFILE-0064,6,10,0
39,1,PROFILE-0169,5,1,0
39,2,PROFILE-0124,5,1,0
39,3,PROFILE-0120,5,1,0
39,4,PROFILE-0104,5,2,0
39,5,PROFILE-0162,5,1,0
39,6,PROFILE-0161,5,1,0
39,7,PROFILE-0083,5,1,0
39,8,PROFILE-0116,5,1,0
39,9,PROFILE-0081,5,1,0
39,10,PROFILE-0082,5,1,0
39,11,PROFILE-0079,5,1,0
39,12,PROFILE-0125,5,1,0
40,1,PROFILE-0185,5,1,0
40,2,PROFILE-0127,6,90,0
40,3,PROFILE-0187,6,172,0
40,4,PROFILE-0183,6,102,0
40,5,PROFILE-0121,5,1,0
40,6,PROFILE-0168,5,1,0
40,7,PROFILE-0104,5,1,0
40,8,PROFILE-0083,5,1,0
40,9,PROFILE-0082,5,1,0
40,10,PROFILE-0081,5,1,0
40,11,PROFILE-0185,4,45,0
40,12,PROFILE-0126,6,104,0
41,1,PROFILE-0185,5,23,0
41,2,PROFILE-0185,3.8,114,0
41,3,PROFILE-0187,6,32,0
41,4,PROFILE-0183,6,53,0
41,5,PROFILE-0076,6,99,0
41,6,PROFILE-0075,6,102,0
41,7,PROFILE-0079,6,198,0
41,8,PROFILE-0080,6,125,0
41,9,PROFILE-0074,6,36,0
41,10,PROFILE-0081,6,100,0
41,11,PROFILE-0180,6,100,0
41,12,PROFILE-0177,6,67,0
41,13,PROFILE-0175,6,52,0
41,14,PROFILE-0181,6,16,0
42,1,PROFILE-0185,4,47,0
42,2,PROFILE-0187,6,30,0
42,3,PROFILE-0187,6,17,0
42,4,PROFILE-0183,6,124,0
42,5,PROFILE-0185,5,1,0
42,6,PROFILE-0185,3.8,27,0
42,7,PROFILE-0187,6,2,0
42,8,PROFILE-0127,5,8,0
42,9,PROFILE-0127,6,14,0
42,10,PROFILE-0078,6,142,0
42,11,PROFILE-0077,6,111,0
42,12,PROFILE-0074,6,14,0
42,13,PROFILE-0181,6,84,0
43,1,PROFILE-0175,6,8,0
43,2,PROFILE-0082,6,42,0
44,1,PROFILE-0185,5,18,0
44,2,PROFILE-0185,4,1,0
44,3,PROFILE-0185,6,18,0
45,1,PROFILE-0116,6,40,0
45,2,PROFILE-0157,6,40,0
45,3,PROFILE-0169,6,20,0
45,4,PROFILE-0161,6,20,0
45,5,PROFILE-0079,6,129,0
45,6,PROFILE-0077,6,304,0
45,7,PROFILE-0180,6,250,0
45,8,PROFILE-0175,6,64,0
45,9,PROFILE-0181,6,59,0
46,1,PROFILE-0132,6,70,0
47,1,PROFILE-0159,5,2,0
47,2,PROFILE-0064,5,2,0
47,3,PROFILE-0124,5,1,0
47,4,PROFILE-0125,5,1,0
47,5,PROFILE-0120,6,1,0
47,6,PROFILE-0169,5,1,0
47,7,PROFILE-0161,6,1,0
47,8,PROFILE-0116,5,1,0
47,9,PROFILE-0157,5,1,0
47,10,PROFILE-0104,5,4,0
47,11,PROFILE-0082,6,13,0
47,12,PROFILE-0083,6,28,0
47,13,PROFILE-0177,6,6,0
47,14,PROFILE-0162,6,47,0
48,1,PROFILE-0076,6,50,0
48,2,PROFILE-0075,6,50,0
48,3,PROFILE-0079,6,100,0
48,4,PROFILE-0080,6,70,0
48,5,PROFILE-0078,6,78,0
48,6,PROFILE-0077,6,39,0
48,7,PROFILE-0074,6,25,0
48,8,PROFILE-0081,6,50,0
48,9,PROFILE-0180,6,26,0
48,10,PROFILE-0177,6,6,0
49,1,PROFILE-0177,6,34,0
49,2,PROFILE-0181,6,30,0
49,3,PROFILE-0082,6,30,0
49,4,PROFILE-0083,6,28,0
50,1,PROFILE-0083,6,146,0
50,2,PROFILE-0162,6,33,0
50,3,PROFILE-0165,3.5,40,0
50,4,PROFILE-0171,3.5,55,0
51,1,PROFILE-0076,6,50,0
51,2,PROFILE-0075,6,50,0
51,3,PROFILE-0079,6,104,0
51,4,PROFILE-0083,6,50,0
51,5,PROFILE-0080,6,55,0
51,6,PROFILE-0078,6,65,0
51,7,PROFILE-0077,6,75,0
51,8,PROFILE-0074,6,25,0
51,9,PROFILE-0081,6,50,0
52,1,PROFILE-0181,6,24,0
52,2,PROFILE-0175,6,11,0
52,3,PROFILE-0083,6,22,0
52,4,PROFILE-0172,6,52,0
52,5,PROFILE-0181,5,3,0
53,1,PROFILE-0171,3.5,3,0
53,2,PROFILE-0162,6,40,0
53,3,PROFILE-0138,6,24,0
53,4,PROFILE-0139,6,20,0
53,5,PROFILE-0082,6,15,0
53,6,PROFILE-0177,6,30,0
53,7,PROFILE-0181,6,126,0
53,8,PROFILE-0169,6,20,0
53,9,PROFILE-0161,6,20,0
54,1,PROFILE-0134,6,10,0
54,2,PROFILE-0087,6,10,0
54,3,PROFILE-0086,6,10,0
55,1,PROFILE-0183,6,10,0
55,2,PROFILE-0139,6,20,0
56,1,PROFILE-0185,5,2,0
56,2,PROFILE-0185,3.8,22,0
56,3,PROFILE-0183,6,342,0
56,4,PROFILE-0127,3.8,36,0
56,5,PROFILE-0185,6,3,0
57,1,PROFILE-0083,6,100,0
58,1,PROFILE-0071,6,19,0
58,2,PROFILE-0107,6,8,0
58,3,PROFILE-0151,6,10,0
58,4,PROFILE-0152,6,12,0
58,5,PROFILE-0153,6,12,0
58,6,PROFILE-0110,6,24,0
58,7,PROFILE-0111,6,14,0
58,8,PROFILE-0035,6,20,0
